flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_time,duration_seconds,packet_count,total_bytes,payload_bytes,avg_packet_size,min_ttl,max_ttl,tcp_flags,is_closed
151.101.135.52:443 -> 192.168.1.138:65093 [TCP],151.101.135.52,443,192.168.1.138,65093,TCP,1770744575.646383,0,117,138192,1638,1181.13,57,57,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 18 (SA)>}",False
151.101.135.52:443 -> 192.168.1.138:65094 [TCP],151.101.135.52,443,192.168.1.138,65094,TCP,1770744575.646384,0,1676,2424014,23464,1446.31,57,57,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 18 (SA)>}",False
151.101.135.52:443 -> 192.168.1.138:65095 [TCP],151.101.135.52,443,192.168.1.138,65095,TCP,1770744575.647767,0,3526,5132277,49364,1455.55,57,57,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 18 (SA)>}",False
192.168.1.138:65096 -> 104.83.34.182:443 [TCP],192.168.1.138,65096,104.83.34.182,443,TCP,1770744576.079080,0,11,3539,154,321.73,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
104.83.34.182:443 -> 192.168.1.138:65096 [TCP],104.83.34.182,443,192.168.1.138,65096,TCP,1770744576.092343,0,15,5295,210,353.0,55,55,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 82 (SAE)>}",False
199.232.211.82:443 -> 192.168.1.138:65041 [TCP],199.232.211.82,443,192.168.1.138,65041,TCP,1770744577.715842,0,2,156,28,78.0,57,57,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
192.168.1.138:65014 -> 185.199.109.154:443 [TCP],192.168.1.138,65014,185.199.109.154,443,TCP,1770744578.710254,0,2,171,28,85.5,64,64,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
185.199.109.154:443 -> 192.168.1.138:65014 [TCP],185.199.109.154,443,192.168.1.138,65014,TCP,1770744578.725927,0,2,171,28,85.5,58,58,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
192.168.1.138:64947 -> 34.120.208.123:443 [TCP],192.168.1.138,64947,34.120.208.123,443,TCP,1770744579.719874,0,2,178,28,89.0,64,64,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
34.120.208.123:443 -> 192.168.1.138:64947 [TCP],34.120.208.123,443,192.168.1.138,64947,TCP,1770744579.733804,0,2,178,28,89.0,120,120,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
140.82.112.26:443 -> 192.168.1.138:65042 [TCP],140.82.112.26,443,192.168.1.138,65042,TCP,1770744579.981487,0,2,157,28,78.5,47,47,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
192.168.1.138:65042 -> 140.82.112.26:443 [TCP],192.168.1.138,65042,140.82.112.26,443,TCP,1770744579.981671,0,2,161,28,80.5,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
